full_name,channel
Benjamin Schiller,cnn
Artemis Moshtaghian,cnn
Stephen Collinson,cnn
Aj Willingham,cnn
Andrew Raine,cnn
Kathleen Magramo,cnn
Aditi Sangal,cnn
Mike Hayes,cnn
Elise Hammond,cnn
Maureen Chowdhury,cnn
Matt Mcfarland,cnn
Zoe Sottile,cnn
Susannah Cullinane,cnn
Jalen Beckford,cnn
Jacob Krol,cnn
Peter Nickeas,cnn
Emma Tucker,cnn
Shimon Prokupecz,cnn
,cnn
Kevin Liptak,cnn
Lesley Kennedy,cnn
Paul Leblanc,cnn
Daniella Diaz,cnn
Janelle Davis,cnn
Jeremy Herb Katelyn Polantz,cnn
Jeremy Herb,cnn
Katelyn Polantz,cnn
Krystin Arneson,cnn
Caroline Curran,cnn
Holly Yan,cnn
Amir Vera,cnn
Katelyn Polantz Devan,cnn
Aaron Pellish,cnn
Devan Cole,cnn
Jessie Yeung,cnn
Emiko Jozuka,cnn
Chloe Melas Amir Vera,cnn
Chloe Melas,cnn
Nectar Gan,cnn
Courtney Thompson,cnn
Elizabeth Wallace,cnn
Jillian Tracy,cnn
Michael Berk,cnn
Jennifer Yellin,cnn
Jane Greenway Carr,cnn
Nicole Goodkind,cnn
Frank Pallotta,cnn
Jacopo Prisco,cnn
Charlie Dent,cnn
Kaitlyn Mcinnis,cnn
William Han,cnn
Simone Mccarthy,cnn
Sara Smart,cnn
Suzanne Kattau,cnn
Holly Thomas,cnn
Nicole Hemmer,cnn
Frida Ghitis,cnn
Peter Valdes-Dapena,cnn
Julian Zelizer,cnn
Mary Alice Royse,cnn
Catherine Thorbecke,cnn
Lindsay Tigar,cnn
Jacob Homan,cnn
Richard Galant,cnn
Peggy Drexler,cnn
Josh Campbell,cnn
Hannah Sarisohn,cnn
Rachel Ramirez,cnn
Adam Duxter,cnn
Oscar Holland,cnn
Livvy Doherty,cnn
Anna Cooban,cnn
Rachel Ramirez Nathaniel Meyersohn,cnn
Nathaniel Meyersohn,cnn
Mary Ziegler,cnn
Michelle Watson,cnn
Melissa Alonso,cnn
Steve Contorno,cnn
Maureen O'Hare,cnn
Barry Neild,cnn
Kate Bennett,cnn
Mia Alberti,cnn
Harry Enten,cnn
Amarachi Orie,cnn
Jane Sit,cnn
Liz Kang,cnn
Melanie Zanona,cnn
Alex Rogers,cnn
Annie Grayer,cnn
Jamie Gangel,cnn
Zachary Cohen Ryan Nobles,cnn
Zachary Cohen,cnn
Sana Noor Haq,cnn
Julia Kesaieva,cnn
Tim Lister,cnn
Darya Tarasova,cnn
Priya Krishnakumar Devan Cole,cnn
Priya Krishnakumar,cnn
Zachary B Wolf,cnn
Kate Sullivan,cnn
Brian Fung,cnn
Katelyn Polantz Tierney Sneed,cnn
Uliana Pavlova,cnn
John Harwood,cnn
Clare Duffy,cnn
Jacqueline Howard Veronica Stracqualursi,cnn
Jacqueline Howard,cnn
Veronica Stracqualursi,cnn
Sara Ashley O'Brien,cnn
Christina Maxouris,cnn
Carma Hassan,cnn
Aya Elamroussi,cnn
Rachel Metz,cnn
Jennifer Korn,cnn
Jackie Wattles,cnn
Naomi Thomas,cnn
Katie Hunt,cnn
Sandee Lamotte,cnn
Kai Burkhardt,cnn
Kristen Rogers,cnn
Katia Hetter,cnn
Lisa Respers,cnn
Madeline Holcombe,cnn
Deidre Mcphillips,cnn
Marianne Garvey,cnn
Brian Lowry,cnn
Harmeet Kaur,cnn
Noelle Ike,cnn
Sandra Gonzalez,cnn
Tony Leys,cnn
Scottie Andrew,cnn
Toyin Owoseje,cnn
Brad Lendon,cnn
Miki Lendon,cnn
Francesca Street,cnn
Joe Minihane,cnn
Leah Asmelash,cnn
Ben Jones,cnn
Maggie Hiufu Wong,cnn
Katie Lockhart,cnn
Lilit Marcus,cnn
Al Goodman,cnn
Jack Guy,cnn
Marnie Hunter,cnn
Xiaofei Xu,cnn
Forrest Brown,cnn
Thalia Perez,cnn
Dean Obeidallah,cnn
Terry Ward,cnn
Samiar Nefzi,cnn
Tamara Hardingham-Gill,cnn
Nicola Chilton,cnn
Leroy Ah Ben,cnn
Richard Quest,cnn
Nourhan Elkallawy,cnn
Livia Borghese Sana Noor Haq,cnn
Livia Borghese,cnn
Issy Ronald,cnn
Eric Levenson Dakin Andone,cnn
Eric Levenson,cnn
Amy Woodyatt,cnn
Jacob Lev,cnn
Katie Hurley,cnn
Irene Nasser Nimi Princewill,cnn
Irene Nasser,cnn
Nimi Princewill,cnn
Thomas Page,cnn
Jack A Webb,cnn
Martha C White,cnn
Danielle Wiener-Bronner,cnn
Julia Horowitz,cnn
Paul R La Monica,cnn
Sara Murray Chandelis Duster Tierney Sneed,cnn
Sara Murray,cnn
Chandelis Duster,cnn
Angela Fritz,cnn
Meg Wagner,cnn
Melissa Macaya,cnn
Alexandra Peers,cnn
Mike Andronico,cnn
Maegan Vazquez,cnn
Jeremy Diamond,cnn
Sammy Mngqosini,cnn
Ashley Strickland,cnn
Ramishah Maruf,cnn
Chris Cillizza,cnn
Judson Jones,cnn
Brenda Goodman,cnn
Priscilla Alvarez,cnn
Jennifer Hansler,cnn
Kylie Atwood,cnn
Max Buondonno,cnn
Jacqui Palumbo,cnn
Vanessa Yurkevich,cnn
Sehgal Rhea Mogul,cnn
Will Ripley,cnn
Iqbal Athas,cnn
Rhea Mogul,cnn
Barbara Starr,cnn
Ellie Kaufman,cnn
Xiaofei Xu Zahid Mahmood Sana Noor Haq Jorge Engels,cnn
Joseph Ataman,cnn
